IDTEACH,TT3G01,TT3G07A,TT3G07D,TT3G07G,TT3G34B,TT3G34D,TT3G53E,TT3G53H
300101,1,2,1,3,2,2,3,1
300102,1,2,2,3,2,2,2,1
300103,1,2,2,3,2,1,2,1
300104,2,2,3,2,2,3,3,1
300105,1,3,3,3,1,2,2,1
300106,1,2,1,3,1,2,2,2
300107,1,2,3,3,1,2,3,2
300108,1,2,1,2,2,3,3,1
300109,1,2,3,3,3,3,2,1
300110,1,2,2,3,2,3,3,1
300111,1,2,2,2,2,2,2,1
300112,1,2,1,2,2,2,3,1
300113,1,3,3,3,1,1,2,1
300114,1,1,1,3,2,3,3,1
300115,2,2,1,3,2,2,2,2
300116,1,2,2,3,2,2,2,2
300117,2,1,2,2,3,3,3,1
300118,2,2,3,3,1,2,3,2
300119,1,3,3,3,2,3,2,1
300120,2,3,1,3,3,3,3,3
300201,1,2,1,3,3,3,3,1
300202,2,2,3,1,2,1,2,1
300203,1,3,3,3,2,2,2,1
300204,1,2,3,3,1,1,2,1
300205,2,2,1,3,1,2,2,1
300206,1,3,2,3,1,2,2,2
300207,1,3,3,3,3,3,2,1
300301,1,2,2,3,3,3,3,1
300302,1,2,1,2,1,1,2,1
300303,1,2,3,2,2,2,3,1
300304,1,2,3,3,2,3,3,1
300305,2,2,1,3,3,3,3,3
300306,1,2,2,3,1,1,2,1
300307,1,3,3,3,1,2,1,1
300308,1,1,1,2,2,2,1,1
300309,1,3,1,3,3,3,3,1
300310,2,1,2,3,2,2, , 
300311,1,3,1,3,3,3,3,3
300312,2,1,1,1,1,1,3,1
300401,1,1,1,2,3,2,1,1
300402,1,2,3,3,3,1,3,1
300403,1,2,3,3,2,3,3,2
300404,1,3,3,3,1,2,2,2
300405,1,2,3,3,3,3,3,3
300406,2,2,2,3,1, ,2,1
300407,1,1,3,3,1,2,2,1
300408,2,1,3,2,1,2,2,3
300409,2,3,2,3,1,2,2,1
300411,1,2,2,2,2,3,3,1
300412,1,3,3,3,1,1,3,1
300413,2,2,3,2,2,2,2,2
300414,2,2,3,3,2,2,2,1
300415,1,2,3,3,1,2,2,1
300417,1,3,3,3,3,2,2,1
300418,1,3,3,3,3,3,3,2
300419,1,2,2,3,2,3,3,2
300420,1,2,1,2,3,2,3,2
300501,1,1,1,3,3,3,2,2
300502,1,2,1,3,3,3,2,1
300503,1,2,1,3,1,2,2,1
300504,1,2,2,3,2,2,3,1
300505,2,1,3,1,1,2,3,2
300506,1,3,3,3,3,3,3,1
300507,1,3,3,3,3,3,3,3
300508,1,2,3,3,3,2,2,1
300509,2,2,2,2,2,2,1,2
300510,2,2,2,2,2,2,3,2
300511,1,3,3,3,1,3,1,3
300512,2,2,3,2,2,3,1,1
300513,1,2,1,3,3,2,2,1
300514,2,2,2,2,2,3,2,2
300515,1,2,3,3,2,1,1,1
300516,2,2,3,3,3,3,3,3
300517,1,3,3,3,3,3,2,2
300518,1,2,2,3,2,2,2,2
300519,2,3,3,3,2,2,2,1
300520,1,1,1,3,1,2,3,2
300601,1,2,1,2,1,2,2,1
300602,1,1,2,2,2,2,1,1
300603,2,2,2,2,2,3,2,1
300604,1,3,3,3,1,2,1,1
300605,1,2,1,2,2,3,1,1
300606,1,2,1,2,3,2,2,1
300607,1,3,2,3,3,3,3,2
300608,1,3,3,3,3,2,3,2
300610,2,3,3,2,1,2,2,2
300611,1,3,3,3,1,2,2,1
300612,1,3,3,3,1,2,2,1
300613,2,3,3,3,1,2,2,1
300701,1,1,1,3,2,2,1,1
300702,1,3,2,3,1,3,3,2
300703,2,2,2,2,2,2,2,2
300704,1,2,2,2,2,2,2,2
300705,2,3,2,2,2,2,2,2
300706,1,2,1,3,1,3,3,1
300707,1,2,2,3,2,1,3,2
300708,1,2,2,2,3,3,3,2
300710,1,2,2,3,3,3,3,1
300803,1,2,2,2,2,1,2,2
300810,1,3,3,3,3,2,2,1
300811,1,1,2,3,2, ,1,2
300812,1,2,3,3,2,3,3,1
300813,1,3,1,3,3,3,2,1
300814,2,2,2,3,3,3,3,3
300815,1,2,3,3,1,1,2,1
300816,2,3,3,3,2,2,3,1
300817,2,2,2,2,3,3, , 
300818,1,1,3,1,2,3,1,1
300820,2,3,2,3,3,3,2,1
300901,2,2,3,3,2,3,3,2
300902,2,3,2,3,2,1,3,1
300903,1,3,3,3,2,2,2,1
300904,2,3,2,3,2,2,2,1
300905,2,1,2,3,3,1,3,3
300906,1,3,3,3,3,2,3,3
300907,2,1,1,3,2,2,2,1
300908,2,2,2,3,3,3,2,1
300909,1,1,3,2,2,3,1,1
300912,1,3,2,3,3,3,3,2
300913,1,2,1,3,1,2,2,1
300914,1,2,2,3,3,3,3,1
300915,2,2,3,3,2,2,3,3
300916,1,2,3,3,3,2,3,1
300918,1,2,3,3,3,3,2,1
300919,1,3,3,3,3,2,2,1
300920,1,1,3,2,2,2,2,1
301001,1,3,2,2,1,1,2,3
301002,2,2,1,3,1,1,2,1
301003,1,2,3,2,3,3,3,3
301004,1,3,3,3,3,3,2,2
301006,2,1,2,3,2,3,1,1
301007,2,3,3,3,2,3,3,3
301008,1,1,1,3, , , , 
301009,2,3,3,3,2,3,3,1
301010,1,3,3,3,2,2,2,1
301103,2,2,2,3,3,2,2,3
301104,2,2,3,3,2,3,2,1
301105,1,3,3,2,1,2,2,1
301106,1,2,3,3,2,3,2,2
301108,2,2,3,3, , , , 
301110,2,2,3,3, , , , 
301111,2,2,2,2,2,3,2,1
301113,1,2,2,2,1,1,2,1
301114,2,2,1,3,1,1,3,1
301115,1,2,1,2,3,3,2,1
301116,1,3,2,3,3,3,2,1
301118,2,3,2,3,1,1,2,1
301119,1,2,3,1, , , , 
301201,2,2,2,3,1,3,2,1
301202,2,1,2,3,2,3,2,3
301203,1,1,2,3,3,1,2,1
301204,1,2,3,2,1,1,1,1
301207,1,3,3,3,2,3,3,3
301208,1,2,3,3,1,3,2,1
301209,1,1,2,3,2,1,3,1
301210,2,3,3,3,2,2,3,1
301211,1,1,2,3,2,2, , 
301212,2,2,2,3,2,1,2,1
301213,2,2,2,3,3,3,3,3
301214,2,1,1,3,1,2,1,1
301215,2,2,1,3,1,2,2,1
301216,1,2,3,1, , , , 
301217,1,2,1,3,2,1,3,3
301218,1,2,3,3,2,2,2,2
301219,2,3,3,2,2,3,2,2
301220,1,1,2,3,1,2,2,1
301301,1,3,3,3,3,3,3,2
301303,1,1,1,3,1,3,2,1
301305,1,2,2,2,3,1,3,3
301306,1,3,3,3,3,3,3,3
301308,1,2,3,3,3,3,3,1
301310,1,2,3,2, , , , 
301311,1,3,1,3,3,3,3,1
301312,2,2,2,2,3,3,2,1
301313,1,3,3,3,3,3,2,1
301314,2,2,3,3,3,3,3,3
301315,2,3,1,3,3,3,3,3
301319,1,3,2,2,3,2,2,1
301320,1,2,2,3,3,3,2,1
301401,1,3,2,3,3,2,3,2
301402,1,2,2,2,2,3,1,1
301403,1,3,1,3,3,3,2,1
301404,1,3,3,3,3,3,3,1
301405,2,1,1,3,2,2,3,2
301406,2,1,2,3,1,1,2,1
301407,1,1,1,3,1,2,3,1
